****** VALORESLOCALID **********
ano         ;versao      ;revisao     ;cod_localid ;valor_m01   ;valor_m02   ;valor_m03   ;valor_m04   ;valor_m05   ;valor_m06   ;valor_m07   ;valor_m08   ;valor_m09   ;valor_m10   ;valor_m11   ;valor_m12   ;
2023;VP0;a;AR;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;BH;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;BL;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;BR;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;CA;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;CB;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;CP;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;CT;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;CV;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;FL;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;FO;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;GO;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;IP;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;JF;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;JP;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;LO;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;MR;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;NA;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;PE;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;PO;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;PP;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;RE;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;RJ;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;RP;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;SA;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;SJ;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;SL;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;SM;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;SP;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;SR;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;TE;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;TESTE;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;UB;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;UR;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;VC;550;550;550;550;550;550;550;550;550;550;550;550;
2023;VP0;a;VI;550;550;550;550;550;550;550;550;550;550;550;550;

****** VALORESTRANSFER **********
ano         ;versao      ;revisao     ;cod_localid_orig;cod_localid_dest;valor_m01   ;valor_m02   ;valor_m03   ;valor_m04   ;valor_m05   ;valor_m06   ;valor_m07   ;valor_m08   ;valor_m09   ;valor_m10   ;valor_m11   ;valor_m12   ;
2023;VP0;a;PO;BH;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427;
2023;VP0;a;PO;BR;586;586;586;586;586;586;586;586;586;586;586;586;
2023;VP0;a;PO;CA;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;
2023;VP0;a;PO;CT;542;542;542;542;542;542;542;542;542;542;542;542;
2023;VP0;a;PO;CV;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;
2023;VP0;a;PO;FL;499;499;499;499;499;499;499;499;499;499;499;499;
2023;VP0;a;PO;FO;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353;
2023;VP0;a;PO;LO;810;810;810;810;810;810;810;810;810;810;810;810;
2023;VP0;a;PO;RJ;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;
2023;VP0;a;PO;SA;634;634;634;634;634;634;634;634;634;634;634;634;
2023;VP0;a;PO;SP;815;815;815;815;815;815;815;815;815;815;815;815;
2023;VP0;a;PO;TE;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;
2023;VP0;a;RJ;BH;776;776;776;776;776;776;776;776;776;776;776;776;
2023;VP0;a;RJ;BR;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;
2023;VP0;a;RJ;CA;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152;
2023;VP0;a;RJ;CT;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;
2023;VP0;a;RJ;FL;572;572;572;572;572;572;572;572;572;572;572;572;
2023;VP0;a;RJ;GO;954;954;954;954;954;954;954;954;954;954;954;954;
2023;VP0;a;RJ;PO;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328;
2023;VP0;a;RJ;SL;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;
2023;VP0;a;RJ;SP;967;967;967;967;967;967;967;967;967;967;967;967;
2023;VP0;a;RJ;SR;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;
2023;VP0;a;RJ;VI;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226;
2023;VP0;a;SP;AR;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;
2023;VP0;a;SP;BH;547;547;547;547;547;547;547;547;547;547;547;547;
2023;VP0;a;SP;BL;583;583;583;583;583;583;583;583;583;583;583;583;
2023;VP0;a;SP;BR;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;
2023;VP0;a;SP;CT;635;635;635;635;635;635;635;635;635;635;635;635;
2023;VP0;a;SP;CV;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371;
2023;VP0;a;SP;FL;682;682;682;682;682;682;682;682;682;682;682;682;
2023;VP0;a;SP;FO;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339;
2023;VP0;a;SP;GO;834;834;834;834;834;834;834;834;834;834;834;834;
2023;VP0;a;SP;NA;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132;
2023;VP0;a;SP;PO;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;
2023;VP0;a;SP;RE;621;621;621;621;621;621;621;621;621;621;621;621;
2023;VP0;a;SP;RJ;957;957;957;957;957;957;957;957;957;957;957;957;
2023;VP0;a;SP;RP;464;464;464;464;464;464;464;464;464;464;464;464;
2023;VP0;a;SP;SA;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059;
2023;VP0;a;SP;SJ;970;970;970;970;970;970;970;970;970;970;970;970;
2023;VP0;a;SP;SL;663;663;663;663;663;663;663;663;663;663;663;663;
2023;VP0;a;SP;VI;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;
