ano;revisao;centroCusto;tipoPlanejViagem;obs;valor
2023;a;C0042BLAES;v;VIAGEM À SÃO LUÍS;4000
2023;a;C0042BLJUR;v;VIAGENS E WORKSHOP;840
2023;a;C0042BLPLM;v;viagens a sao luis para acompanhamento de demandas a cada 3 meses se necessario;4
2023;a;C0042BLRHU;v;Viagens SL e SP;10000
2023;a;C0042COCOB;v;Deslocamento de eventos equipe / uber / 99 taxi / pequenas viagens necessárias;6000
2023;a;C0042COMON;v;Visitas da área de CI + DHO às regionais para acompanhamento de ações.;10000
2023;a;C0042COPLE;v;Viagens Diversas;36000
2023;a;C0042COSIS;v;Viagens Diversas;7848
2023;a;C0042EQCOC;v;R$ 2.000 por pessoa/ semestre + R$ 200 por pessoa/semestre reembolso de refeições fora de SP.;8800
2023;a;C0042EQINL;v;Obs: Estadia em Campinas - 10 diárias/ano. Diaria = R$400,00;4000
2023;a;C0042EQPDL;v;R$ 8400 custo de viagem para gerente + R$ 400 reembolso refeições fora de SP. \nR$ 4400 custo de viagem para coordenador + 400 reembolso refeições fora de SP;12800
2023;a;C0042EQRHU;v;viagens nacionais para RJ e Sul (periodicas) + uma viagem para evento de inovação internacional;40000
2023;a;C0042EQRHU;v;visita às regionais;6000
2023;a;C0042NENNE;v;Viagens Diversas;120000
2023;a;C0042SLJUR;v;VIAGENS E WORKSHOP;540
2023;a;C0042SOCMD;v;Obs: Estadia em Campinas - 4 diárias/ano. Diaria = R$400,00;1600
2023;a;C0042SPESG;v;viagens às regionais Porto Alegre e RJ 2 pessoas;8000
2023;a;C0042SPOTE;v;Pequenas viagens/ UBER/ Deslocamento eventos etc;6000
2023;a;C0042SPPRC;v;previsao de 2 viagens por ano de aviao, para 4 pessoas estadia de 1 dias;20000
2023;a;C0219EQRHV;v;Em Março , encontro de RH no Rio de Janeiro , 4 viagens ao ano regionais RIO e SUL;23000
2023;a;C0219EQTIV;v;Hotéis Campinas/Santos, 2 visitas;2000
2023;a;C0219RJBUS;v;Viagens para Congressos;12000
2023;a;C0219RJBUS;v;Envio da equipe para reuniões de projetos do site e digital;10800
2023;a;C0219SPBUS;v;Obs: Estadia em Campinas - 2 diárias/ano. Diaria = R$400,00;800
2023;a;C0221EQSMA;v;Visita obras;14400
2023;a;C0221EQSSE;v;Visita às obras e feiras\nConsiderado R$ 150/obra x 6 visitas/mês x feiras (4/ano);14400
2023;a;C0221PJCYR;v;1) Consideradas 4 viagens para RJ e 4 viagens para Porto Alegre, 1 noite de hospedagem, 2 dias (Despesas com passagens, diárias de hotéis e reembolsos de viagens) Considerações Rio de janeiro: R$ 1.500,00                                          Passagem aérea: R$700,00                                                  Premissa pernoite: R$475,00 (hospedagem, refeição e taxi)                                                                                                 Premissa viagem: R$275,00;30000
2023;a;C0221PJLIV;v;1) Consideradas 2 viagens para RJ e 2 viagens para Porto Alegre, alinhamento entre regionais\n2) Inscrições para gerente e coordenadores em 2 eventos, um em Sp e um Fora de SP para cada \n3) Solicitado por suprimentos inclusão de 2 viagens para sul e 2 viagens para Rio, como previsão para encontro de fim de ano da engenharia;21102
2023;a;C0221SPCNS;v;Viagens Diversas;20400
2023;a;C0221SPDEL;v;Viagens para regionais RJ e Sul;16000
2023;a;C0221SPLPO;v;Acompanhamento de obras em Campinas (4 a 5 obras) - Equipe de Planejamento;4800
2023;a;C0275RHUVH;v;Viagem pra Regional Rio;9000
2023;a;C0304DITER;v;Orçamento Viagens;14791
2023;a;C0304EQINP;v;Orçamento Viagens;5518
2023;a;C0304RJCOB;v;Possível viagem à SP;1524
2023;a;C0304RJDI1;v;Orçamento Viagens;2465
2023;a;C0304RJJUR;v;VIAGENS E REUNIÕES;900
2023;a;C0304RJPER;v;Viagens SP e Porto Alegre;17040
2023;a;C0304RJPIN;v;Orçamento Viagens;3036
2023;a;C0304RJPLM;v;Orçamento Viagens;1517
2023;a;C0304RJPLO;v;VIAGENS REUNIÃO PLANEJAMENTO, VIISTAS OBRAS, TREINAMENTOS;18000
2023;a;C0304RJQUA;v;Reuniões e visitas na regional SP, visitas técnicas em fornecedores etc.;10000
2023;a;C0304RJRCL;v;Orçamento Viagens;7525
2023;a;C0304RJSUP;v;Orçamento Viagens;6828
2023;a;C0304RJTER;v;Orçamento Viagens;2465
2023;a;C0600PRFIN;v;Sem orçamento no Cydag, estamos colocando manualmente, considerando 2 mil por viagem (considerando voo+hospedagem+deslocamento);6600
2023;a;C0600RSDIR;v;Viagens Diversas da diretoria;120000
2023;a;C0600RSRHU;v;3 pessoas;10000
2023;a;C2546PRDTA;v;Deslocamento equipe do PR para RS;6000
2023;a;C3228INOVA;v;evento internacional de inovação em Austin, Texas;15000
2023;a;C3228INOVA;v;evento internacional de inovação em Lisboa, Portugal;15000
2023;a;C3228INOVA;v;evento interno de inovação nas regionais;8000
2023;a;C3228INOVA;v;Evento internacional de data analytics;10000
