ano;localidadeOrigem;localidadeDestino;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;BL;SL;773;773;773;773;773;773;773;773;773;773;773;773
2023;BL;SP;583;583;583;583;583;583;583;583;583;583;583;583
2023;PO;BH;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427
2023;PO;BR;586;586;586;586;586;586;586;586;586;586;586;586
2023;PO;CA;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384
2023;PO;CT;542;542;542;542;542;542;542;542;542;542;542;542
2023;PO;CV;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353
2023;PO;FL;499;499;499;499;499;499;499;499;499;499;499;499
2023;PO;FO;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353
2023;PO;LO;810;810;810;810;810;810;810;810;810;810;810;810
2023;PO;RJ;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127
2023;PO;SA;634;634;634;634;634;634;634;634;634;634;634;634
2023;PO;SP;815;815;815;815;815;815;815;815;815;815;815;815
2023;PO;TE;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100
2023;RJ;BH;776;776;776;776;776;776;776;776;776;776;776;776
2023;RJ;BR;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
2023;RJ;CA;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152
2023;RJ;CT;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023
2023;RJ;FL;572;572;572;572;572;572;572;572;572;572;572;572
2023;RJ;GO;954;954;954;954;954;954;954;954;954;954;954;954
2023;RJ;PO;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328
2023;RJ;SL;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409
2023;RJ;SP;967;967;967;967;967;967;967;967;967;967;967;967
2023;RJ;SR;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023
2023;RJ;VI;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226
2023;SL;BL;1064;1064;1064;1064;1064;1064;1064;1064;1064;1064;1064;1064
2023;SL;RJ;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409
2023;SL;SP;663;663;663;663;663;663;663;663;663;663;663;663
2023;SP;AR;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120
2023;SP;BH;547;547;547;547;547;547;547;547;547;547;547;547
2023;SP;BL;583;583;583;583;583;583;583;583;583;583;583;583
2023;SP;BR;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370
2023;SP;CT;635;635;635;635;635;635;635;635;635;635;635;635
2023;SP;CV;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371
2023;SP;FL;682;682;682;682;682;682;682;682;682;682;682;682
2023;SP;FO;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339
2023;SP;GO;834;834;834;834;834;834;834;834;834;834;834;834
2023;SP;NA;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132
2023;SP;PO;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031
2023;SP;RE;621;621;621;621;621;621;621;621;621;621;621;621
2023;SP;RJ;957;957;957;957;957;957;957;957;957;957;957;957
2023;SP;RP;464;464;464;464;464;464;464;464;464;464;464;464
2023;SP;SA;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059
2023;SP;SJ;970;970;970;970;970;970;970;970;970;970;970;970
2023;SP;SL;663;663;663;663;663;663;663;663;663;663;663;663
2023;SP;VI;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385
