;ano;versao;revisao;cod_empr;cod_premissa;tipo_clb;mes_custo;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
;2023;VP0;a;C0042;enc_prov_13_empr;1;0;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
;2023;VP0;a;C0042;enc_prov_13_empr;2;0;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
;2023;VP0;a;C0042;enc_prov_ferias_empr;1;0;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
;2023;VP0;a;C0042;enc_prov_ferias_empr;2;0;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001
;2023;VP0;a;C0042;inss_empr;1;0;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3
;2023;VP0;a;C0042;inss_empr;2;0;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3
;2023;VP0;a;C0042;inss_empr;5;0;20;20;20;20;20;20;20;20;20;20;20;20
;2023;VP0;a;C0042;inss_empr;6;0;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3;27,3
;2023;VP0;a;C0217;enc_prov_13_empr;1;0;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001;1,4520000000000001
;2023;VP0;a;C0217;enc_prov_13_empr;2;0;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001;0,9520000000000001
;2023;VP0;a;C0217;enc_prov_ferias_empr;1;0;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001;0,9680000000000001
;2023;VP0;a;C0217;enc_prov_ferias_empr;2;0;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634;0,634
;2023;VP0;a;C0217;inss_empr;1;0;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001
;2023;VP0;a;C0217;inss_empr;2;0;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001
;2023;VP0;a;C0217;inss_empr;6;0;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001;9,783000000000001
;2023;VP0;a;C0219;enc_prov_13_empr;1;0;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9;2,9
;2023;VP0;a;C0219;enc_prov_13_empr;2;0;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4
;2023;VP0;a;C0219;enc_prov_ferias_empr;1;0;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933;1,933
