ano;cod_agrup_prem;cod_premissa;tipo_clb;flag_ativa;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
2023;*;ass_med;1;s;200;200;200;200;200;200;200;200;200;200;200;200
2023;*;ass_med;3;s;200;200;200;200;200;200;200;200;200;200;200;200
2023;*;ass_med;4;s;200;200;200;200;200;200;200;200;200;200;200;200
2023;*;ass_med;5;s;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97
2023;*;ass_med;6;s;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97
2023;*;ass_med;7;s;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97
2023;*;ass_med;8;s;200;200;200;200;200;200;200;200;200;200;200;200
2023;*;fgts;1;s;8;8;8;8;8;8;8;8;8;8;8;8
2023;*;fgts;2;s;2;2;2;2;2;2;2;2;2;2;2;2
2023;*;fgts;6;s;8;8;8;8;8;8;8;8;8;8;8;8
2023;*;prov_13;1;s;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333
2023;*;prov_13;2;s;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333
2023;*;prov_13;6;s;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333
2023;*;prov_ferias;1;s;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556
2023;*;prov_ferias;2;s;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556
2023;*;prov_ferias;6;s;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556
2023;*;seg_vida;*;s;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264
2023;CY_A_MEND;ass_med;1;s;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;CY_A_MEND;ass_med;2;n;0;0;0;0;0;0;0;0;0;0;0;0
2023;CY_A_MEND;ass_med;3;s;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;CY_A_MEND;ass_med;4;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
