ano;revisao;localidadeOrigem;localidadeDestino;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;a;PO;BH;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427;1427
2023;a;PO;BR;586;586;586;586;586;586;586;586;586;586;586;586
2023;a;PO;CA;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384;2384
2023;a;PO;CT;542;542;542;542;542;542;542;542;542;542;542;542
2023;a;PO;CV;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353;1353
2023;a;PO;FL;499;499;499;499;499;499;499;499;499;499;499;499
2023;a;PO;FO;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353;2353
2023;a;PO;LO;810;810;810;810;810;810;810;810;810;810;810;810
2023;a;PO;RJ;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127;1127
2023;a;PO;SA;634;634;634;634;634;634;634;634;634;634;634;634
2023;a;PO;SP;815;815;815;815;815;815;815;815;815;815;815;815
2023;a;PO;TE;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100
2023;a;RJ;BH;776;776;776;776;776;776;776;776;776;776;776;776
2023;a;RJ;BR;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
2023;a;RJ;CA;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152;1152
2023;a;RJ;CT;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023
2023;a;RJ;FL;572;572;572;572;572;572;572;572;572;572;572;572
2023;a;RJ;GO;954;954;954;954;954;954;954;954;954;954;954;954
2023;a;RJ;PO;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328;1328
2023;a;RJ;SL;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409;1409
2023;a;RJ;SP;967;967;967;967;967;967;967;967;967;967;967;967
2023;a;RJ;SR;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023;1023
2023;a;RJ;VI;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226;1226
2023;a;SP;AR;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120
2023;a;SP;BH;547;547;547;547;547;547;547;547;547;547;547;547
2023;a;SP;BL;583;583;583;583;583;583;583;583;583;583;583;583
2023;a;SP;BR;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370;1370
2023;a;SP;CT;635;635;635;635;635;635;635;635;635;635;635;635
2023;a;SP;CV;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371;2371
2023;a;SP;FL;682;682;682;682;682;682;682;682;682;682;682;682
2023;a;SP;FO;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339;2339
2023;a;SP;GO;834;834;834;834;834;834;834;834;834;834;834;834
2023;a;SP;NA;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132;1132
2023;a;SP;PO;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031;1031
2023;a;SP;RE;621;621;621;621;621;621;621;621;621;621;621;621
2023;a;SP;RJ;957;957;957;957;957;957;957;957;957;957;957;957
2023;a;SP;RP;464;464;464;464;464;464;464;464;464;464;464;464
2023;a;SP;SA;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059
2023;a;SP;SJ;970;970;970;970;970;970;970;970;970;970;970;970
2023;a;SP;SL;663;663;663;663;663;663;663;663;663;663;663;663
2023;a;SP;VI;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385;1385
