ano;premissa;ativa;tipoSegmCentroCusto;segmTipoClb;empresa;agrupPremissas;tipoColaborador;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;assMed;s;a;s;;*;1;200;200;200;200;200;200;200;200;200;200;200;200
2023;assMed;s;a;s;;*;3;200;200;200;200;200;200;200;200;200;200;200;200
2023;assMed;s;a;s;;*;4;200;200;200;200;200;200;200;200;200;200;200;200
2023;assMed;s;a;s;;*;5;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97
2023;assMed;s;a;s;;*;6;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97
2023;assMed;s;a;s;;*;7;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97;786,97
2023;assMed;s;a;s;;*;8;200;200;200;200;200;200;200;200;200;200;200;200
2023;assMed;n;a;s;;C_OESTE;1;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;assMed;n;a;s;;C_OESTE;3;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;assMed;n;a;s;;C_OESTE;4;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;n;a;s;;C_OESTE;5;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;n;a;s;;C_OESTE;6;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;n;a;s;;C_OESTE;7;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;CY_A_MEND;1;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;assMed;n;a;s;;CY_A_MEND;2;0;0;0;0;0;0;0;0;0;0;0;0
2023;assMed;s;a;s;;CY_A_MEND;3;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;assMed;s;a;s;;CY_A_MEND;4;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;CY_A_MEND;5;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;CY_A_MEND;6;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;CY_A_MEND;7;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;NORTE;1;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;assMed;s;a;s;;NORTE;3;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;assMed;s;a;s;;NORTE;4;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;NORTE;5;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;NORTE;6;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;NORTE;7;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;n;a;s;;NORTE;8;0;0;0;0;0;0;0;0;0;0;0;0
2023;assMed;s;a;s;;NORTE-BE;1;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;assMed;s;a;s;;NORTE-BE;3;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;assMed;s;a;s;;NORTE-BE;4;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;NORTE-BE;5;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;NORTE-BE;6;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;NORTE-BE;7;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;RJ;1;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;assMed;s;a;s;;RJ;3;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;assMed;s;a;s;;RJ;4;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;RJ;5;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;RJ;6;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;RJ;7;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SELL_CUR;1;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_CUR;4;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_CUR;5;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_CUR;6;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_CUR;7;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_PA_FL;1;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_PA_FL;4;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_PA_FL;5;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_PA_FL;6;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELL_PA_FL;7;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;assMed;s;a;s;;SELLER;1;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;assMed;s;a;s;;SELLER;3;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;assMed;s;a;s;;SELLER;4;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SELLER;5;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SELLER;6;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SELLER;7;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SP;1;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;assMed;s;a;s;;SP;3;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;assMed;s;a;s;;SP;4;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SP;5;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SP;6;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;assMed;s;a;s;;SP;7;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
