ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2020;C0003PEPVA;5200502005;0;0;0;0;0;0;0;0;0;0;0;1156
2020;C0003PEPVA;5200503008;0;0;0;0;0;0;2830,08;0;0;0;0;0
2020;C0003PEPVA;5200504002;0;0;0;0;0;0;0;0;177;100;0;979,91
2020;C0003PEPVA;5200504004;0;1160;0;0;0;0;0;0;0;0;0;0
2020;C0041PEPVA;5200207001;-726,09;0;0;0;0;0;0;0;0;0;0;0
2020;C0041PEPVA;5200504004;0;0;0;0;289,91;0;0;0;0;0;0;303,72
2020;C0042ASSET;5200201001;0;0;0;0;0;0;0;2200,62;6000,27;5999,24;6000,86;5999,86
2020;C0042ASSET;5200203001;0;0;0;0;0;0;0;0;666,67;666,66;666,67;666,67
2020;C0042ASSET;5200203002;0;0;0;0;0;0;0;0;235,33;235,32;235,35;235,33
2020;C0042ASSET;5200204001;0;0;0;0;0;0;0;0;500;500;-500;1500
2020;C0042ASSET;5200204002;0;0;0;0;0;0;0;0;176,5;176,5;176,5;-369,5
2020;C0042ASSET;5200205001;0;0;0;0;0;0;0;600,62;1638;1638;1638;2184
2020;C0042ASSET;5200205002;0;0;0;0;0;0;0;176;480;480;480;480
2020;C0042ASSET;5200208001;0;0;0;0;0;0;0;249,09;249,09;266,55;266,55;266,55
2020;C0042ASSET;5200208003;0;0;0;0;0;0;0;15,96;15,96;15,96;15,96;15,96
2020;C0042ASSET;5200208004;0;0;0;0;0;0;0;418,11;520,04;520,04;495,28;495,28
2020;C0042ASSET;5200504004;0;0;0;0;0;0;0;0;0;0;28178,84;0
2020;C0042BLAES;5200201001;3006,39;2921,34;2922,46;2921,61;2922,41;2921,83;2922,36;3152,43;2921,72;2921,65;1706,06;2500,21
2020;C0042BLAES;5200201002;1570,75;0;0;0;0;0;0;0;223,06;0;6;0
2020;C0042BLAES;5200202001;0;230,71;0;0;0;0;0;0;0;0;0;0
2020;C0042BLAES;5200202002;350;0;0;0;0;0;0;0;0;0;0;0
2020;C0042BLAES;5200203001;675,69;324,67;324,67;324,66;324,67;649,34;0,01;324,66;349,46;324,66;544,56;333,4
2020;C0042BLAES;5200203002;238,52;114,61;114,6;40,55;110,54;385,46;-78,11;114,6;123,37;114,6;-1221,76;176,41
2020;C0042BLAES;5200204001;410,56;243,5;243,5;243,5;243,5;487;0,01;243,5;262,09;243,5;-1141,43;1711,05
2020;C0042BLAES;5200204002;144,92;85,95;85,96;71,69;82,91;309,81;-120,59;85,96;92,52;85,96;112,8;-782,67
2020;C0042BLAES;5200205001;1345;797,7;797,7;761,18;761,18;1595,4;0;797,7;858,61;797,7;961,09;1753,97
2020;C0042BLAES;5200205002;394,14;233,76;233,76;233,76;233,76;467,52;0;233,76;251,6;233,76;120,02;200,04
2020;C0042BLAES;5200208001;996,36;970,76;978,82;927,16;996,36;1976,12;996,36;906,22;996,36;1052,21;1066,2;923,86
2020;C0042BLAES;5200208003;9,38;9,38;9,38;9,38;11,09;22,18;11,09;11,09;11,09;11,09;11,09;11,09
2020;C0042BLAES;5200208004;472,77;450,25;495,28;450,25;450,25;971,79;540,79;493,77;493,77;493,77;211,62;352,69
2020;C0042BLAES;5200208005;72,21;72,21;72,21;72,21;72,21;72,21;72,21;72,21;72,21;72,21;37,07;62,19
2020;C0042BLAES;5200208008;726,72;221,37;0;0;0;217,06;93,8;0;0;0;0;0
2020;C0042BLAES;5200208009;274,03;259,63;288,43;259,63;259,63;0;302,83;0;274,03;274,03;0;0
2020;C0042BLAES;5200208011;0;0;0;0;0;30,75;0;0;0;0;0;0
2020;C0042BLAES;5200501002;0;0;0;2820;0;3085;0;0;0;0;0;0
2020;C0042BLAES;5200501003;3500,39;5300;3380;5985;0;1035;445;0;0;0;0;0
2020;C0042BLAES;5200502001;4510,23;4621,48;3707,07;3354,52;2783,16;2480,49;3574,45;4139,33;4358,91;4135,57;4048,86;3932,12
2020;C0042BLAES;5200502003;7376,3;11625,78;11070,28;5420,84;8770,78;5376;8832,03;9043,73;8770,5;8539,3;9888,84;5496,1
2020;C0042BLAES;5200502007;0;0;0;0;0;280;0;0;0;0;0;0
2020;C0042BLAES;5200502009;0;0;0;0;0;0;0;0;200,86;0;0;0
2020;C0042BLAES;5200503002;0;0;0;0;0;648,72;0;0;0;0;0;0
2020;C0042BLAES;5200503003;0;0;0;0;0;3840;0;0;0;0;0;0
2020;C0042BLAES;5200503004;210;1948,53;186;72;0;1656;66;78;126;66;180;590,81
2020;C0042BLAES;5200503005;0;0;283,93;256,7;625,64;0;0;0;0;0;959,09;0
2020;C0042BLAES;5200503008;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674
2020;C0042BLAES;5200504002;0;129,6;67,38;41,87;14,38;0;109,31;0;0;0;0;1130
2020;C0042BLAES;5200504007;942,37;942,37;942,37;942,37;942,37;0;942,37;942,37;942,37;942,37;942,37;942,37
2020;C0042BLAES;5200504008;4486,75;5520,2;4550,78;2562,75;0;5932,74;3502,44;3666,03;4014,75;2370,76;2244,55;2802,18
2020;C0042BLAES;5200504010;1525,2;940,2;715,2;1525,2;1525,2;1525,2;639,6;639,6;1525,2;1449,6;639,6;54,6
2020;C0042BLAES;5200504019;3700;3700;3700;3700;3700;3700;3850;3700;3700;3700;1900;1900
2020;C0042BLAES;5200504025;32214,77;45931,23;32793,13;36553,21;18419,65;27801,55;30621,24;34514,4;25845,75;37825,65;27022,44;26853,56
2020;C0042BLAES;5200901001;24,75;24,75;55;55;55;55;0;0;0;0;0;0
2020;C0042BLAES;5300202002;0;0;0;0;0;0;0;0;43,88;76,74;0;47,26
2020;C0042BLCOB;5200502004;0;0;0;0;0;0;0;0;0;0;0;166,5
2020;C0042BLCOB;5200503001;456,94;1431,98;1170,31;0;0;0;0;0;0;0;0;0
2020;C0042BLCOB;5200503005;0;0;72,7;35,17;0;0;0;0;0;0;0;0
2020;C0042BLCOB;5200504025;2381,08;7593,55;17635,97;2760,65;357,68;7538,18;7566,6;7623,41;7862,83;7862,83;7862,83;7834,41
2020;C0042BLJUR;5200201001;4281,75;6705,47;6705,2;6706,02;1020,26;350,02;349,46;580,91;3793,99;3702,52;6975,96;6885,79
2020;C0042BLJUR;5200201002;1096,41;0;0;0;0;0;0;0;0;0;0;0
2020;C0042BLJUR;5200202001;0;230,71;0;0;0;0;0;0;0;0;0;0
2020;C0042BLJUR;5200203001;866,86;745,04;745,05;745,04;763,99;1530,72;0,65;766,03;755,2;745,04;1129,14;765,08
2020;C0042BLJUR;5200203002;568,25;263;263;149,71;260,14;786,02;-122,61;270,42;-2570,22;625,54;312,52;270,07
2020;C0042BLJUR;5200204001;650,15;558,79;558,78;558,78;573;1148,02;0,5;574,53;566,39;558,78;-2626,1;3926,51
2020;C0042BLJUR;5200204002;229,5;197,25;197,24;168,18;195,1;716,61;-274,94;202,81;199,94;197,24;256,48;-1721,57
2020;C0042BLJUR;5200205001;2353,64;1830,59;1830,61;1746,8;1849,46;3760,98;62,71;1943,2;1915,38;2152,46;2048,67;3082,47
2020;C0042BLJUR;5200205002;427,45;536,43;536,43;536,43;567,95;1102,1;18,36;569,41;275,52;268,21;550,86;550,86
2020;C0042BLJUR;5200208001;500,22;418,66;450,07;149,25;698,49;1703,73;770,37;770,37;671,1;715,43;761,67;761,57
2020;C0042BLJUR;5200208003;15,1;15,1;15,1;15,1;17,84;35,68;17,84;17,84;17,84;17,84;18,32;18,32
2020;C0042BLJUR;5200208004;270,15;450,25;495,28;450,25;450,25;0;0;0;235,13;258,64;470,25;446,74
2020;C0042BLJUR;5200208005;72,21;72,21;72,21;72,21;0;0;0;0;0;37,26;74,15;74,15
2020;C0042BLJUR;5200208011;0;0;0;0;0;36,24;0;0;0;0;0;0
2020;C0042BLJUR;5200503001;0;2540,82;89,85;0;0;0;0;0;0;0;0;0
2020;C0042BLJUR;5200503005;0;231,24;260,3;107,22;0;0;0;0;0;0;0;0
2020;C0042BLPLL;5200410004;0;0;0;0;0;0;0;0;0;0;196,51;388,1
2020;C0042BLPLL;5200502004;5571,79;8833,69;907,27;2141,85;373,74;7246,15;578,68;4173,33;6619,76;4423,67;0;597
2020;C0042BLPLL;5200503003;0;3111,95;0;0;0;0;0;0;0;53,77;0;0
2020;C0042BLPLL;5200503005;8728,17;9392,15;-900;0;0;0;0;0;0;0;0;0
2020;C0042BLPLL;5200504002;2172,23;2334,39;2018,57;1904,83;1339,43;545,22;2725;6110,83;1180,55;390,94;442,68;556,43
2020;C0042BLPLL;5200504012;0;0;0;0;0;0;0;0;0;0;454,42;0
2020;C0042BLPLL;5200504020;3680,75;311,26;0;0;0;0;0;0;0;0;0;0
2020;C0042BLPLM;5200201001;6843,58;7080,19;7079,08;7079,68;7079,68;4719,23;7787,34;8018,97;7787,4;7787,35;5960,16;5330,48
2020;C0042BLPLM;5200201002;192,14;0;0;0;0;0;0;0;64,99;0;1,75;0
2020;C0042BLPLM;5200202001;0;230,71;0;0;0;0;0;0;0;0;0;0
2020;C0042BLPLM;5200203001;807,98;786,61;786,61;786,62;786,62;-786,78;3306,09;865,26;872,51;865,28;1259,69;888,56
2020;C0042BLPLM;5200203002;310,39;277,68;277,67;149,58;267,85;-646,16;1029,12;305,43;308;90,68;-533,16;-659,5
2020;C0042BLPLM;5200204001;605,97;589,97;589,96;589,96;589,96;1179,94;414,56;648,96;654,37;648,96;-3052,14;4560,16
2020;C0042BLPLM;5200204002;213,89;208,27;208,26;178,55;200,88;736,02;-136,09;229,09;230,99;229,08;297,09;-1954,38
2020;C0042BLPLM;5200205001;2006,65;1932,72;1932,72;1844,23;1844,23;3865,54;193,23;2126;2143,72;2126;2361,08;4375
2020;C0042BLPLM;5200205002;562,85;566,36;566,36;566,36;566,36;755,14;245,43;623;628,19;623;426,5;426,5
2020;C0042BLPLM;5200208001;256,8;256,8;256,8;256,8;256,8;563,51;256,8;256,8;256,8;274,8;232,64;206,6
2020;C0042BLPLM;5200208003;15,48;15,48;15,48;15,48;18,29;36,58;20,12;20,12;20,12;20,12;20,66;20,66
2020;C0042BLPLM;5200208004;450,25;450,25;495,28;450,25;450,25;601,59;540,79;493,77;493,77;493,77;282,15;305,67
2020;C0042BLPLM;5200208005;72,21;72,21;72,21;72,21;72,21;72,21;72,21;72,21;72,21;72,21;49,43;50,23
2020;C0042BLPLM;5200208011;0;0;0;0;0;30,75;0;0;0;0;0;0
2020;C0042BLPLM;5200208012;0;-247,64;-239,9;0;0;0;-242,22;-239,9;-239,9;-239,9;-239,9;-239,9
2020;C0042BLPLM;5200503005;0;168,75;292,73;105,66;0;0;0;0;0;0;24,15;0
2020;C0042BLREP;5200201001;7476,77;10486,22;10634,49;7393,67;3981,95;10021,81;11553,66;12246,92;11554,7;11554,26;12679,66;11863,59
2020;C0042BLREP;5200201002;774,73;0;0;0;0;0;0;0;304,51;0;8,2;0
2020;C0042BLREP;5200202001;0;692,13;0;0;0;0;0;0;0;0;0;0
2020;C0042BLREP;5200203001;1264,89;1200,42;1181,59;-38,54;-1247,87;10064,9;-3647,38;1283,82;1312,31;1284,47;1590,96;1318,75
2020;C0042BLREP;5200203002;-686,38;440,7;417,09;-1133,24;-2532,37;3611,03;-1285,21;453,19;463,25;-593,96;525,18;465,51
2020;C0042BLREP;5200204001;950,74;886,2;886,19;886,21;940,42;1793,88;467,48;962,85;988,24;962,85;-4526,75;6765,86
2020;C0042BLREP;5200204002;335,58;312,81;312,85;267,72;320,19;1120,53;-265,38;339,88;348,85;339,88;441,37;-2917,17
2020;C0042BLREP;5200205001;3223,38;2920,69;2903,15;2864,83;2995,07;5900,5;204;3154,25;3237,43;3154,37;3523,99;6505,31
2020;C0042BLREP;5200205002;660,02;838,93;850,74;591,47;318,55;1603,52;122,57;924,33;948,69;924,33;949,19;949,19
2020;C0042BLREP;5200208001;981,99;990,85;996,77;938,87;926,7;2137,72;1019,49;975,03;1019,49;975,18;958,04;1005,89
2020;C0042BLREP;5200208003;28,44;28,44;28,44;28,44;33,62;67,24;34,76;34,76;34,76;34,76;35,1;35,1
2020;C0042BLREP;5200208004;1013,07;1350,75;1485,84;1350,75;923,02;2637,71;1622,37;1481,31;1481,31;1481,31;1410,75;1340,22
2020;C0042BLREP;5200208005;173,3;216,63;216,63;216,63;108,32;216,63;216,63;216,63;216,63;216,63;222,45;222,45
2020;C0042BLREP;5200208011;0;0;0;0;0;41;0;0;0;0;0;0
2020;C0042BLREP;5200503001;383,25;216,3;0;0;0;0;0;0;0;0;0;0
2020;C0042BLREP;5200503005;0;0;784,56;373,79;0;0;0;0;0;0;206,48;0
2020;C0042BLRHU;5200208005;0;0;0;0;0;0;0;0;0;0;0;1298
2020;C0042BLRHU;5200208006;0;0;0;0;0;0;0;0;0;0;7000;0
2020;C0042BLRHU;5200208008;0;0;0;4940;0;1980;9320;1592,5;952,5;712,5;7043,5;2002,5
2020;C0042BLRHU;5200410004;0;0;0;0;0;2250;0;1050;0;0;0;0
2020;C0042BLRHU;5200502005;0;0;0;0;0;0;0;0;0;0;0;465
2020;C0042BLRHU;5200504002;0;0;0;0;0;0;0;0;520;0;641;1610
2020;C0042BLRHU;5200504012;1000;0;0;3561;0;0;0;0;0;0;0;5374
2020;C0042BOIMP;5200502003;18710,88;752,3;10393,17;479,02;4974,44;5601,56;5762,37;832,03;9464,33;5988,72;490,75;12060,53
2020;C0042BOIMP;5200503002;0;0;0;120;0;0;0;0;1100;0;0;5240,89
2020;C0042BOIMP;5200503009;0;900;0;0;0;0;0;0;0;0;0;0
2020;C0042BOIMP;5200504002;85955,12;0;0;0;0;0;0;0;0;88522,3;0;0
2020;C0042BOIMP;5200504008;0;0;0;114,75;0;0;115,52;0;0;0;0;0
2020;C0042BOIMP;5200504010;3189,72;11433,22;5927,93;7141,7;7564,34;7564,34;7564,34;7521,29;4919,93;4334,57;4334,57;6745,98
2020;C0042BOIMP;5300202002;156,66;0;0;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200201001;6800,65;14800,2;0;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200203001;1333,33;1333,34;-2666,67;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200203002;470,65;470,68;-941,33;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200204001;1000;1000;-2000;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200204002;353;353;-706;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200205001;1856,4;4040,4;0;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200205002;544;1184;0;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200208001;256,8;256,8;0;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200208003;27,02;40,53;0;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200208004;0;742,92;0;0;0;0;0;0;0;0;0;0
2020;C0042CMMKT;5200208009;0;186;0;0;0;0;0;0;0;0;0;0
2020;C0042COAES;5200201001;28315,53;31796,24;30299,48;19558,53;26378,06;30990,76;32077,67;26376,88;24458,58;16797,42;11100,4;16299,17
2020;C0042COAES;5200201002;10474,22;5275,07;5062,81;3511,26;2363,68;1125,88;3982,14;5924,48;5068,41;0;0;0
2020;C0042COAES;5200201003;0;0;0;0;0;0;0;0;0;0;10624,31;-10624,31
2020;C0042COAES;5200202001;0;0;0;428,9;0;0;0;0;0;0;0;0
2020;C0042COAES;5200202002;193;193;193;193;193;193;193;193;11121;193;193;193
2020;C0042COAES;5200203001;4859,23;4475,07;-2678,17;4000,55;3874,81;22823,59;-6892,17;44;-859,01;899,63;3254,88;1117,19
2020;C0042COAES;5200203002;-932,37;631,74;-8998,7;1404,21;1319,35;8200,72;-2623,37;15,51;-8228,99;-1602,53;-42,41;394,37
2020;C0042COAES;5200204001;3644,42;-823,92;826,68;799,29;2065,79;4944,86;116,97;-1752,68;-4599,01;674,71;1122,25;9357,11
2020;C0042COAES;5200204002;1925,2;948,39;1044,56;723,45;924,84;3600,42;-1486,22;-1551,98;-3115,11;238,18;345,72;-1640,78
2020;C0042COAES;5200205001;12237,64;10994,14;12457,65;9688,39;8830,65;18140,36;-230,03;6504,22;5792,86;2273,14;4013,83;6095,33
2020;C0042COAES;5200205002;3130,06;2990,59;2892,11;1385,61;2779,8;5246,6;2,01;1940,78;1697,62;666,12;23902,37;818,89
2020;C0042COAES;5200208001;5958,73;5697,11;5596,31;4532,85;5234,13;11615,59;5191,68;5418,13;5605,24;5298,17;5591,26;4700,98
2020;C0042COAES;5200208003;109,03;109,03;109,03;99,65;117,8;235,6;117,8;117,8;117,8;88,72;88,72;88,72
2020;C0042COAES;5200208004;4061,3;4507,05;5175,69;4556,57;916,28;9824,24;5225,18;4804,18;4596,54;4284,14;3250,04;4062,38
2020;C0042COAES;5200208005;0;0;0;0;0;0;0;0;0;0;550;0
2020;C0042COAES;5200208008;0;0;0;0;0;0;0;10276,59;2678,17;0;0;10557,29
