ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;C0042BLAES;5200201001;3.077,00;3.077,00;3.077,00;3.077,00;3.077,00;3.077,00;3.077,00;3.292,00;3.292,00;3.292,00;3.292,00;3.292,00
2023;C0042BLAES;5200203001;171;171;171;171;171;171;171;183;183;183;183;183
2023;C0042BLAES;5200203002;60;60;60;60;60;60;60;65;65;65;65;65
2023;C0042BLAES;5200204001;256;256;256;256;256;256;256;274;274;274;274;274
2023;C0042BLAES;5200204002;91;91;91;91;91;91;91;97;97;97;97;97
2023;C0042BLAES;5200205001;840;840;840;840;840;840;840;899;899;899;899;899
2023;C0042BLAES;5200205002;246;246;246;246;246;246;246;263;263;263;263;263
2023;C0042BLAES;5200208001;770,08;770,08;770,08;770,08;770,08;770,08;770,08;770,08;770,08;770,08;770,08;770,08
2023;C0042BLAES;5200208003;8;8;8;8;8;8;8;9;9;9;9;9
2023;C0042BLAES;5200208004;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;C0042BLAES;5200501003;13.500,00;0;0;0;0;0;0;0;0;0;0;0
2023;C0042BLAES;5200502001;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00
2023;C0042BLAES;5200502003;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00;3.100,00
2023;C0042BLAES;5200502004;100;100;100;100;100;100;100;100;100;100;100;100
2023;C0042BLAES;5200502007;1.000,00;0;0;0;0;0;0;0;0;0;0;0
2023;C0042BLAES;5200503001;0;0;2.000,00;0;0;0;0;0;0;0;0;2.000,00
2023;C0042BLAES;5200503002;1.000,00;0;0;0;0;0;0;0;0;0;0;0
2023;C0042BLAES;5200503004;250;250;250;250;250;250;250;250;250;250;250;250
2023;C0042BLAES;5200503005;90;90;90;90;90;90;90;90;90;90;90;90
2023;C0042BLAES;5200503011;800;0;0;0;0;0;0;0;0;0;0;0
2023;C0042BLAES;5200504008;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00
2023;C0042BLAES;5200504010;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00;8.600,00
2023;C0042BLAES;5200504018;3.000,00;0;0;0;0;0;0;0;0;0;0;0
2023;C0042BLAES;5200504019;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00
2023;C0042BLAES;5200504025;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00;9.171,00
2023;C0042BLCOB;5200502004;500;500;500;500;500;500;500;500;500;500;500;500
2023;C0042BLCOB;5200503001;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83
2023;C0042BLCOB;5200503003;500;500;500;500;500;500;500;500;500;500;500;500
2023;C0042BLJUR;5200201001;9.162,00;9.162,00;9.162,00;9.162,00;9.162,00;9.162,00;9.162,00;9.804,00;9.804,00;9.804,00;9.804,00;9.804,00
2023;C0042BLJUR;5200203001;509;509;509;509;509;509;509;545;545;545;545;545
2023;C0042BLJUR;5200203002;180;180;180;180;180;180;180;192;192;192;192;192
2023;C0042BLJUR;5200204001;764;764;764;764;764;764;764;817;817;817;817;817
2023;C0042BLJUR;5200204002;270;270;270;270;270;270;270;288;288;288;288;288
2023;C0042BLJUR;5200205001;2.501,00;2.501,00;2.501,00;2.501,00;2.501,00;2.501,00;2.501,00;2.676,00;2.676,00;2.676,00;2.676,00;2.676,00
