ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2019;C0003PEPVA;5200504002;0;0;0;0;0;0;177;180;0;0;0;0
2019;C0003PEPVA;5200504004;0;0;0;0;0;0;0;1081;0;0;0;0
2019;C0041PEPVA;5200207001;0;0;0;0;0;0;0;186,1;0;0;0;0
2019;C0041PEPVA;5200504004;0;0;0;0;0;0;0;0;0;0;0;1081
2019;C0042BLAES;5200201001;2318,5;2590,62;2589,84;2750,4;2749,32;2750,27;2750,34;2749,85;2750,19;2992,3;1891,74;2836,52
2019;C0042BLAES;5200201002;851,52;520,25;768,37;440,56;432,58;351,93;618,35;188,24;0;5,95;0;0
2019;C0042BLAES;5200202001;0;223,64;0;0;0;0;0;223,64;0;0;0;0
2019;C0042BLAES;5200203001;382,41;345,62;373,17;601,47;353,61;344,66;374,26;326,47;305,56;514,6;315,21;315,21
2019;C0042BLAES;5200203002;186,99;122;131,73;212,32;124,82;121,67;132,11;115,25;107,85;181,66;-1017,57;111,26
2019;C0042BLAES;5200204001;286,81;259,21;279,88;314,97;265,21;258,49;280,7;244,85;229,17;311,02;236,41;236,41
2019;C0042BLAES;5200204002;101,23;91,51;98,8;111,17;93,62;91,25;99,09;86,43;80,9;109,79;196,92;-904,47
2019;C0042BLAES;5200205001;1042,92;849,17;916,91;871,02;868,86;846,83;919,57;802,14;750,75;823,52;885,57;1648,93
2019;C0042BLAES;5200205002;253,62;248,84;268,68;255,24;254,6;248,15;269,46;235,05;220;226,95;151,3;226,95
2019;C0042BLAES;5200208001;862,05;866,4;828,6;858,04;866,4;782,52;751,4;852;866,4;959,34;955,34;867,94
2019;C0042BLAES;5200208003;8;8;8;8;8;9,38;9,38;9,38;9,38;9,38;9,38;9,38
2019;C0042BLAES;5200208004;450,25;472,77;427,74;472,77;495,28;427,74;517,79;472,77;472,77;517,79;270,15;427,74
2019;C0042BLAES;5200208005;70;70;70;70;70;70;70;70;70;72,21;48,14;72,21
2019;C0042BLAES;5200208009;244,85;254,6;241,4;266,2;262,9;246,1;303,7;303,7;274,9;302,83;269,09;245,23
2019;C0042BLAES;5200410004;0;0;0;0;0;0;0;0;609,6;0;0;0
2019;C0042BLAES;5200501001;0;2160;2160;2160;2160;2160;2160;2160;2160;2160;0;0
2019;C0042BLAES;5200501003;0;0;0;220;0;18000;0;936;0;0;80,02;4158,05
2019;C0042BLAES;5200502001;4237,52;5273,63;4926,37;4338,1;5280,64;5142,01;5009,37;4895,84;105,41;6273,94;5098,05;5360,68
2019;C0042BLAES;5200502003;7375,93;10688,51;3500;11027,2;14349,71;7001,75;14256,04;11405,46;11313,03;11343,71;11248,08;0
2019;C0042BLAES;5200502007;0;0;0;0;1599,9;913,74;0;0;0;0;0;0
2019;C0042BLAES;5200502009;0;0;0;0;0;0;3897,79;0;0;0;0;0
2019;C0042BLAES;5200503002;0;0;0;521,54;0;0;0;475,64;0;0;33,56;0
2019;C0042BLAES;5200503004;168;120;144;358;216;1141,25;-215,25;847;252;180;318;0
2019;C0042BLAES;5200503005;0;0;0;44,83;0;0;0;0;0;0;0;0
2019;C0042BLAES;5200503008;1674;1674;1674;1674;2574;1674;1674;1674;1674;2674;1674;1674
2019;C0042BLAES;5200503011;0;0;918;0;0;0;0;0;0;0;0;0
2019;C0042BLAES;5200504002;4411,54;0;0;0;0;0;0;0;0;0;0;0
2019;C0042BLAES;5200504008;2965,33;2945,22;2488,04;350;4540,48;4549,57;2147,79;2371,19;2053,1;1741,37;2568,07;0
2019;C0042BLAES;5200504010;0;639,6;639,6;940,6;636,87;9694,61;1854,6;2384,59;2439,6;2970,23;1854,37;2439,6
2019;C0042BLAES;5200504019;2700;2700;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900
2019;C0042BLAES;5200504020;1000;0;0;0;0;978,9;95,4;551,4;198;0;499,5;164,1
