ano;cod_ccusto;cod_classe_custo;cod_sub_classe_custo;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12;obs_valor;fornecedor
2018;C0042BLAES;5200501001;0;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;;
2018;C0042BLAES;5200501003;0;0;0;14600;0;0;0;0;0;0;0;0;0;;
2018;C0042BLAES;5200502001;0;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;;
2018;C0042BLAES;5200502003;30;13900;13900;13900;13900;13900;13900;13900;13900;13900;13900;13900;13900;TELEFONIA FIXA\nLINK INTERNET\nVOIP\nVOITE;BSA TELECOM CLARO PRONTO NET VOITEL
2018;C0042BLAES;5200502004;0;350;350;350;350;350;350;350;350;350;350;350;350;;
2018;C0042BLAES;5200502007;0;0;6000;0;0;0;6000;0;0;0;6000;0;0;;
2018;C0042BLAES;5200503002;30;0;1200;0;0;0;1200;0;0;0;1200;0;0;Resma de Papel\nCaneta\nliga\nclipes\ngrampeador\nenvelopes;Matheus Supermercados
2018;C0042BLAES;5200503004;30;500;6250;500;500;500;500;6250;500;500;6250;500;500;Insumos para máquina de café\ngarrafões de água\naçúcar\ncopo descartáveis\ncafé\nchá\nleite\npalhetas de café;jota máquinas e serviços de cafe
2018;C0042BLAES;5200503005;30;650;650;650;650;650;650;650;650;650;650;650;650;Atividades Externas;Taxi Ananindeua/ Uber
2018;C0042BLAES;5200504002;30;5000;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200;Serviço de suporte de TI remoto\nMotoboy;ALGAR AGRO
2018;C0042BLAES;5200504008;0;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;;
2018;C0042BLAES;5200504010;0;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;;
2018;C0042BLCOB;5200202002;0;1000;1000;1000;1000;0;0;0;0;0;0;0;0;;
2018;C0042BLJUT;5200502003;30;80;80;80;80;80;80;80;80;80;80;80;80;Ramais dos prepostos de Belém (Karine e Fernanda);Ramais prepostos
2018;C0042BLREP;5200202002;0;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;;
2018;C0042BLRHU;5200208006;30;0;0;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;Programa de Cursos e Treinamentos RH Corporativo;RH Corporativo
2018;C0042BLRHU;5200208008;30;300;300;900;300;3600;300;300;300;300;300;300;300;Vacinas\nExames Periódicos\nPCMAT/PCMSO;CMO Clinica de Exames ocupacionais
2018;C0042BLRHU;5200504012;30;0;0;2000;5200;0;0;5100;6000;4000;2000;0;13000;Dia da Mulher\nDia das Mães\nSextas Juninas\nDia dos Pais\nDAV\nConfraternização\nNatal Solidário;Doceria Doce de Ver
2018;C0042BOIMP;5200502003;30;11000;11000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;Link MPLS.;Vivo Telefonica
2018;C0042BOIMP;5200502003;31;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;Internet.;Vogel Telecom
2018;C0042BOIMP;5200502005;0;3285;3285;3285;3285;3285;3285;3285;3285;3285;3285;3285;3285;Cópias e impressões - Solution.;
2018;C0042BOIMP;5200503002;30;170;170;170;170;170;170;170;170;170;170;170;170;Cabos de rede e diversos.;Suprimax Materiais
2018;C0042BOIMP;5200504002;30;11164;11164;11164;11164;11164;11164;11164;11164;11164;11164;11164;11164;Help Desk e Service Desk.;Algar Serviços
2018;C0042BOIMP;5200504002;31;6500;6500;6500;6500;6500;6500;6500;6500;6500;6500;6500;6500;Gestão de Ativos de TI.;Third Consultoria
2018;C0042BOIMP;5200504008;0;3046;3046;3046;3046;3046;3046;3046;3046;3046;3046;3046;3046;Locação Impressoras-Solution.;
