ano;centroCusto;classeCusto;idDetalhe;descr;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2020;C0042BLAES;5200501003;;;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667;1667
2020;C0042BLAES;5200502001;;;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200;5200
2020;C0042BLAES;5200502003;30;LINK DE INTERNETS;9022;9022;9022;9022;9022;9022;9022;9022;9022;9022;9022;9022
2020;C0042BLAES;5200502003;31;TELEFONIA VOIP;2237;2237;2237;2237;2237;2237;2237;2237;2237;2237;2237;2237
2020;C0042BLAES;5200502004;;;900;900;900;900;900;900;900;900;900;900;900;900
2020;C0042BLAES;5200502007;;;334;334;334;334;334;334;334;334;334;334;334;334
2020;C0042BLAES;5200503003;;;667;667;667;667;667;667;667;667;667;667;667;667
2020;C0042BLAES;5200503004;30;AÇUCAR, COPOS, CAFÉ ETC..;500;500;500;500;500;500;500;500;500;500;500;500
2020;C0042BLAES;5200503008;;;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674
2020;C0042BLAES;5200503011;;;125;125;125;125;125;125;125;125;125;125;125;125
2020;C0042BLAES;5200504008;;;1708;1708;1708;1708;1708;1708;1708;1708;1708;1708;1708;1708
2020;C0042BLAES;5200504010;;;2373;2373;2373;2373;2373;2373;2373;2373;2373;2373;2373;2373
2020;C0042BLAES;5200504019;30;SERVIÇOS DE ENTREGA E CARTORIO;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900
2020;C0042BLAES;5200504025;30;RECEPÇÃO, COPEIRA E AUXILIAR DE SERVIÇOS GERAIS .;12930;12930;12930;12930;12930;12930;12930;12930;12930;12930;12930;12930
2020;C0042BLAES;5200504025;31;Equipe Terceirizada TI;6953;6953;6953;6953;6953;6953;6953;6953;6953;6953;6953;6956
2020;C0042BLCOB;5200502004;;;100;100;100;100;100;100;100;100;100;100;100;100
2020;C0042BLCOB;5200503003;;;100;100;100;100;100;100;100;100;100;100;100;100
2020;C0042BLRHU;5200208006;30;gestão do tempo e liderança;0;9000;0;0;0;0;0;0;0;0;0;0
2020;C0042BLRHU;5200208008;30;Vacina, cesta de fim de ano, quarta light;1690;1690;1690;1690;3690;1690;1690;1690;1690;1690;6690;1690
2020;C0042BLRHU;5200502005;;;80;80;80;80;80;80;80;80;80;80;80;80
2020;C0042BLRHU;5200503005;30;Locomoção - Van, uber, táxi e reembolso;200;200;200;200;200;200;200;200;200;200;200;700
2020;C0042BLRHU;5200504002;30;dia das mãe, dia dos pais, outubro rosa, novembro azul,etc;1500;500;800;500;1000;1500;0;500;0;1400;900;0
2020;C0042BLRHU;5200504012;30;Treinamentos, ação aniversariantes e confraternização de fim de ano;0;0;300;0;0;3900;3000;0;0;300;0;10000
2020;C0042BOIMP;5200502003;30;Link MPLS Nó Rócio;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500
2020;C0042BOIMP;5200502003;31;Vogel Internet Rócio;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4900;4900
2020;C0042BOIMP;5200502003;32;Telefonia Fixa BSA;500;500;500;500;500;500;500;500;500;500;500;500
2020;C0042BOIMP;5200502005;;solutin - impressao Cyhouse;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400
2020;C0042BOIMP;5200503002;30;cabo de rede, baterias, mídias, etc.;400;400;400;400;400;400;400;400;400;400;400;400
2020;C0042BOIMP;5200504002;30;Atendimento N1 (rateio) e field CyHouse;85000;500;500;500;500;500;85000;500;500;500;500;500
2020;C0042BOIMP;5200504008;;Phonoway - 1,7k\nSolution - 2,8k;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500
2020;C0042BOIMP;5200504010;;Eversys - R$ 600\nPowereng - R$ 1,7k\nCylk (telefonia) - R$ 4,3k;6600;6600;6600;6600;6600;6600;6600;6600;6600;6600;6600;6600
2020;C0042COAES;5200501001;;aluguel     12º cj.122 e 142B = R$2129.000,00\nCondomínio  12º cj.122 e 142B = R$ 600.000,00;227417;227417;227417;227417;227417;227417;227417;227417;227417;227417;227417;227417
2020;C0042COAES;5200501003;;selos estacionamento = R$20.000,00  vaga estacionamento = R$360.000,00   manut.ar condicionado     = R$144.000,00 \nreforma mobiliários  = R$72000,00   dedetização 2 x ano = R$  2.000,00   material manut.escritório = R$ 60.000,00\nRecomex = preventiva extintores duas vezes ano / recarga= R$  2.170,00;55014;55014;55014;55014;55014;55014;55014;55014;55014;55014;55014;55014
2020;C0042COAES;5200502004;;;44417;44417;44417;44417;44417;44417;44417;44417;44417;44417;44417;44417
2020;C0042COAES;5200502007;;papel toalha/higiênico/sabonete liquido/refil sacos absorventes, sacos lixo, odorizador, alcool gel, etc = R$108.000,00\npreventiva purificadores água = R$2.000,00    home spray diretoria, recepção, banheiros = R$2.800,00;9400;9400;9400;9400;9400;9400;9400;9400;9400;9400;9400;9400
2020;C0042COAES;5200503002;30;papelaria = R$195.000,00   loc.impressora Bira = R$3000,00   envelopes A3,A4,reciclado = R$36000,00;19500;19500;19500;19500;19500;19500;19500;19500;19500;19500;19500;19500
2020;C0042COAES;5200503003;;serv chaveiro (copias, chaves, abertura, carimbos) R$36000,00   Serv.pequenas reformas = R$36000,00\n caixinha expedição emergenciais = R$12000,00;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000
2020;C0042COAES;5200503004;30;Sushi Papaya = R$156.000,00  Nur refeições  = R$380.000,00   V.Nova águal mineral = R$75.000,00   D.JJotas/insumos copa  = R$ 90.000,00\nGran Coffee  = R$ 75.000,00  Italian Coffee = R$ 24.000,00   Nestlé/capsulas      = R$ 9.000,00   Fabio Magalhães/frutas = R$115.000,00\nSDB (iorgute,barrinhas cereal, deliss, torrada aminna) = R$50.000,00;81167;81167;81167;81167;81167;81167;81167;81167;81167;81167;81167;81167
2020;C0042COAES;5200503005;30;taxi;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000
2020;C0042COAES;5200503011;;uniformes recepcionistas e copeiras;667;667;667;667;667;667;667;667;667;667;667;667
2020;C0042COAES;5200504002;30;medicação qualidade água 2 x ano;167;167;167;167;167;167;167;167;167;167;167;167
2020;C0042COAES;5200504006;30;monitoramento CPD;542;542;542;542;542;542;542;542;542;542;542;542
2020;C0042COAES;5200504018;;Iron Mountain = guarda documentos;12167;12167;12167;12167;12167;12167;12167;12167;12167;12167;12167;12167
2020;C0042COAES;5200504019;30;5 motoqueiros;20417;20417;20417;20417;20417;20417;20417;20417;20417;20417;20417;20417
2020;C0042COAES;5200504021;;arranjo flores recepção;517;517;517;517;517;517;517;517;517;517;517;517
2020;C0042COAES;5200504025;30;(mensageiros, limpeza, recepção);35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000
2020;C0042COAES;5200505002;;12º cj. 122 e 142B = R$365.000,00;30417;30417;30417;30417;30417;30417;30417;30417;30417;30417;30417;30417
2020;C0042COAUD;5200504002;30;valor mensal do canal de denúncia - Contato Seguro\nmigração de CC - agora teremos este CC específico para a área\nValor mensal R$ 5.500 - atualização R$ 6.000 (set;5500;5500;5500;5500;5500;5500;5500;5500;6000;6000;6000;6000
2020;C0042COAUD;5200504002;31;Treinamentos obrigatórios de Compliance;0;0;5000;0;0;5000;0;0;5000;0;0;5000
2020;C0042COCFI;5200503005;30;Reembolso uber /estacionamento/refeições durante horas extras;667;667;667;667;667;667;667;667;667;667;667;667
2020;C0042COCOB;5200503005;30;Reuniões e eventos;400;400;400;400;400;400;400;400;400;400;400;400
2020;C0042COCOB;5200504002;30;Ferramentas de aplicação de régua de cobrança.;11000;11000;11000;11000;11000;11000;11000;11000;11000;11000;11000;11000
2020;C0042COCRE;5200502004;;;200;200;200;200;200;200;200;200;200;200;200;200
2020;C0042COCRE;5200502005;;;300;300;300;300;300;300;300;300;300;300;300;300
2020;C0042COCRE;5200503003;;;300;300;300;300;300;300;300;300;300;300;300;300
2020;C0042COCRE;5200503005;30;Plantões de Credito, lançamento, fds, noturno (refeiçoes);1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
2020;C0042COCSL;5200504002;30;Despesas com Assessoria e Consultoria;0;0;0;70000;70000;70000;70000;0;0;0;0;0
2020;C0042COCTB;5200208006;30;Fornecedor/Serviço: Curso Atualização CRC (pendente)\nObs: Curso 40h;0;0;0;0;0;0;0;0;0;0;0;4980
2020;C0042COCTB;5200503002;30;'Fornecedor/Serviço: Cartão de Visita (pendente)\nObs: Cartão de Visita;0;0;0;0;0;0;0;0;0;0;0;120
2020;C0042COCTB;5200503005;30;Fornecedor/Serviço: Estacionamento e Reembolsos (pendente)\nObs: Estacionamento Rócio - R$ 125/mês\nReembolsos diversos - R$ 50/mês;175;175;175;175;175;175;175;175;175;175;175;175
2020;C0042COCTB;5200503006;;;0;0;250000;0;0;0;0;0;0;0;0;0
2020;C0042COCTB;5200503016;;Anuidade CRC;0;0;600;0;0;0;0;0;0;0;0;0
2020;C0042COCTB;5200504001;30;Fornecedor/Serviço: KPMG Auditores (pendente)\nObs: R$ 685.563 + (média IGPMxIPCA 5,65%;0;0;72430;72430;72430;72430;72430;72430;72430;72430;72430;72430
2020;C0042CODIF;5200503002;30;Cartões de Visita;30;30;30;30;30;30;30;30;30;30;30;30
2020;C0042CODIF;5200503005;30;Reembolsos diversos;200;200;200;200;200;200;200;200;200;200;200;200
2020;C0042CODIV;5200503016;;;4950;0;0;4950;0;0;4950;0;0;4950;0;0
2020;C0042COGCB;5200503002;30;Previsão de cartão de visitas para funcionário novo;0;0;150;0;0;0;0;0;150;0;0;0
2020;C0042COGCB;5200503005;30;Custo de condução, deslocamento para reuniões externas;150;150;150;150;150;150;150;150;150;150;150;150
2020;C0042COGEC;5200503002;30;SSD notebook equipe;25;25;25;25;25;25;25;25;25;25;25;25
2020;C0042COGEC;5200503005;30;Reembolsos diversos;50;50;50;50;50;50;50;50;50;50;50;50
2020;C0042COGGC;5200208013;;;7350;3300;0;0;0;0;0;0;0;0;0;0
2020;C0042COGGC;5200502008;;;4800;0;0;0;0;0;0;0;0;0;0;0
2020;C0042COGGC;5200503005;30;UBER;100;100;100;100;100;100;100;100;100;100;100;100
2020;C0042COGGC;5200503009;;;60;60;60;60;60;60;60;60;60;60;60;60
2020;C0042COGGC;5200504020;30;CYDAG;4000;4000;4000;4000;0;4000;0;4000;4000;4000;4000;4000
2020;C0042COGPR;5200503005;30;Fechamentos, café da manhã equipes, aplicativos de transporte, etc;700;700;700;700;700;700;700;700;700;700;700;700
2020;C0042COJCG;5200208013;;Ajuda de Custo referente a transferência de pessoal programada para maio/2020. Alinhado com o RH e valores previstos de acordo com estimativa passada por Suprimentos.;0;0;0;0;8000;0;0;0;0;0;0;0
2020;C0042COJCG;5200503002;30;1 Headset para área corporativa devido ao excesso de calls;180;0;0;0;0;0;0;0;0;0;0;0
2020;C0042COJCG;5200503005;30;Táxis, estacionamentos, refeições;200;200;200;200;200;200;200;200;200;200;200;200
