ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2020;C0042BLAES;5200201001;2.837,00;2.837,00;2.837,00;2.837,00;2.837,00;2.837,00;2.837,00;2.936,00;2.936,00;2.936,00;2.936,00;2.936,00
2020;C0042BLAES;5200203001;158;158;158;158;158;158;158;163;163;163;163;163
2020;C0042BLAES;5200203002;56;56;56;56;56;56;56;58;58;58;58;58
2020;C0042BLAES;5200204001;236;236;236;236;236;236;236;245;245;245;245;245
2020;C0042BLAES;5200204002;83;83;83;83;83;83;83;86;86;86;86;86
2020;C0042BLAES;5200205001;774;774;774;774;774;774;774;802;802;802;802;802
2020;C0042BLAES;5200205002;227;227;227;227;227;227;227;235;235;235;235;235
2020;C0042BLAES;5200208001;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64;1.033,64
2020;C0042BLAES;5200208003;6;6;6;6;6;6;6;7;7;7;7;7
2020;C0042BLAES;5200208004;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69
2020;C0042BLAES;5200208009;285,9;285,9;285,9;285,9;285,9;285,9;285,9;285,9;285,9;285,9;285,9;285,9
2020;C0042BLAES;5200501003;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00;1.667,00
2020;C0042BLAES;5200502001;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00
2020;C0042BLAES;5200502003;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00;11.259,00
2020;C0042BLAES;5200502004;900;900;900;900;900;900;900;900;900;900;900;900
2020;C0042BLAES;5200502007;334;334;334;334;334;334;334;334;334;334;334;334
2020;C0042BLAES;5200503003;667;667;667;667;667;667;667;667;667;667;667;667
2020;C0042BLAES;5200503004;500;500;500;500;500;500;500;500;500;500;500;500
2020;C0042BLAES;5200503008;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00;1.674,00
2020;C0042BLAES;5200503011;125;125;125;125;125;125;125;125;125;125;125;125
2020;C0042BLAES;5200504008;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00;1.708,00
2020;C0042BLAES;5200504010;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00;2.373,00
2020;C0042BLAES;5200504019;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00;1.900,00
2020;C0042BLAES;5200504025;19.883,00;19.883,00;19.883,00;19.883,00;19.883,00;19.883,00;19.883,00;19.883,00;19.883,00;19.883,00;19.883,00;19.886,00
2020;C0042BLCOB;5200502004;100;100;100;100;100;100;100;100;100;100;100;100
2020;C0042BLCOB;5200503003;100;100;100;100;100;100;100;100;100;100;100;100
2020;C0042BLCOB;5200504025;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00;13.800,00
2020;C0042BLJUR;5200201001;6.705,00;6.705,00;6.705,00;6.705,00;6.705,00;6.705,00;6.705,00;6.940,00;6.940,00;6.940,00;6.940,00;6.940,00
2020;C0042BLJUR;5200203001;373;373;373;373;373;373;373;386;386;386;386;386
2020;C0042BLJUR;5200203002;131;131;131;131;131;131;131;136;136;136;136;136
2020;C0042BLJUR;5200204001;559;559;559;559;559;559;559;578;578;578;578;578
2020;C0042BLJUR;5200204002;197;197;197;197;197;197;197;204;204;204;204;204
2020;C0042BLJUR;5200205001;1.831,00;1.831,00;1.831,00;1.831,00;1.831,00;1.831,00;1.831,00;1.895,00;1.895,00;1.895,00;1.895,00;1.895,00
2020;C0042BLJUR;5200205002;536;536;536;536;536;536;536;555;555;555;555;555
2020;C0042BLJUR;5200208001;516,82;516,82;516,82;516,82;516,82;516,82;516,82;516,82;516,82;516,82;516,82;516,82
2020;C0042BLJUR;5200208003;15;15;15;15;15;15;15;16;16;16;16;16
2020;C0042BLJUR;5200208004;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69
2020;C0042BLPLM;5200201001;6.873,00;6.873,00;6.873,00;6.873,00;6.873,00;6.873,00;6.873,00;7.114,00;7.114,00;7.114,00;7.114,00;7.114,00
2020;C0042BLPLM;5200203001;382;382;382;382;382;382;382;395;395;395;395;395
2020;C0042BLPLM;5200203002;135;135;135;135;135;135;135;140;140;140;140;140
2020;C0042BLPLM;5200204001;573;573;573;573;573;573;573;593;593;593;593;593
2020;C0042BLPLM;5200204002;202;202;202;202;202;202;202;209;209;209;209;209
2020;C0042BLPLM;5200205001;1.876,00;1.876,00;1.876,00;1.876,00;1.876,00;1.876,00;1.876,00;1.942,00;1.942,00;1.942,00;1.942,00;1.942,00
2020;C0042BLPLM;5200205002;550;550;550;550;550;550;550;569;569;569;569;569
2020;C0042BLPLM;5200208001;258,41;258,41;258,41;258,41;258,41;258,41;258,41;258,41;258,41;258,41;258,41;258,41
2020;C0042BLPLM;5200208003;15;15;15;15;15;15;15;16;16;16;16;16
2020;C0042BLPLM;5200208004;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69;517,69
2020;C0042BLREP;5200201001;14.699,00;14.699,00;14.699,00;14.699,00;14.699,00;14.699,00;14.699,00;15.213,00;15.213,00;15.213,00;15.213,00;15.213,00
2020;C0042BLREP;5200203001;817;817;817;817;817;817;817;845;845;845;845;845
2020;C0042BLREP;5200203002;288;288;288;288;288;288;288;298;298;298;298;298
2020;C0042BLREP;5200204001;1.224,00;1.224,00;1.224,00;1.224,00;1.224,00;1.224,00;1.224,00;1.268,00;1.268,00;1.268,00;1.268,00;1.268,00
2020;C0042BLREP;5200204002;433;433;433;433;433;433;433;447;447;447;447;447
2020;C0042BLREP;5200205001;4.012,00;4.012,00;4.012,00;4.012,00;4.012,00;4.012,00;4.012,00;4.153,00;4.153,00;4.153,00;4.153,00;4.153,00
2020;C0042BLREP;5200205002;1.176,00;1.176,00;1.176,00;1.176,00;1.176,00;1.176,00;1.176,00;1.217,00;1.217,00;1.217,00;1.217,00;1.217,00
2020;C0042BLREP;5200208001;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05;1.292,05
2020;C0042BLREP;5200208003;34;34;34;34;34;34;34;34;34;34;34;34
2020;C0042BLREP;5200208004;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76;2.070,76
2020;C0042BLREP;5200503001;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75;4.983,75
2020;C0042BLRHU;5200208006;0;9.000,00;0;0;0;0;0;0;0;0;0;0
2020;C0042BLRHU;5200208008;1.690,00;1.690,00;1.690,00;1.690,00;3.690,00;1.690,00;1.690,00;1.690,00;1.690,00;1.690,00;6.690,00;1.690,00
2020;C0042BLRHU;5200502005;80;80;80;80;80;80;80;80;80;80;80;80
2020;C0042BLRHU;5200503005;200;200;200;200;200;200;200;200;200;200;200;700
2020;C0042BLRHU;5200504002;1.500,00;500;800;500;1.000,00;1.500,00;0;500;0;1.400,00;900;0
2020;C0042BLRHU;5200504012;0;0;300;0;0;3.900,00;3.000,00;0;0;300;0;10.000,00
2020;C0042BOIMP;5200502003;9.655,00;9.655,00;9.655,00;9.655,00;9.655,00;9.655,00;9.655,00;9.655,00;9.655,00;9.655,00;9.900,00;9.900,00
2020;C0042BOIMP;5200502005;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00;3.400,00
2020;C0042BOIMP;5200503002;400;400;400;400;400;400;400;400;400;400;400;400
2020;C0042BOIMP;5200504002;85.000,00;500;500;500;500;500;85.000,00;500;500;500;500;500
2020;C0042BOIMP;5200504008;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00;4.500,00
