ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2022;C0042ASSET;5200201001;47.200,00;120.200,00;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200203001;2.622,00;6.676,00;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200203002;926;2.358,00;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200204001;3.934,00;10.018,00;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200204002;1.389,00;3.537,00;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200205001;12.886,00;32.815,00;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200205002;3.776,00;9.616,00;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208001;2.899,50;3.479,40;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208003;303;273;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208004;3.632,10;6.053,50;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208009;0;995,62;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200504030;86.982,00;0;0;0;0;0;0;0;0;0;0;0
2022;C0042BLAES;5200201001;6.176,00;2.976,00;2.976,00;2.976,00;2.976,00;2.976,00;2.976,00;3.304,00;3.304,00;3.304,00;3.304,00;3.304,00
2022;C0042BLAES;5200203001;343;165;165;165;165;165;165;184;184;184;184;184
2022;C0042BLAES;5200203002;121;58;58;58;58;58;58;65;65;65;65;65
2022;C0042BLAES;5200204001;515;248;248;248;248;248;248;275;275;275;275;275
2022;C0042BLAES;5200204002;182;88;88;88;88;88;88;97;97;97;97;97
2022;C0042BLAES;5200205001;1.687,00;813;813;813;813;813;813;902;902;902;902;902
2022;C0042BLAES;5200205002;494;238;238;238;238;238;238;264;264;264;264;264
2022;C0042BLAES;5200208001;1.449,75;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85
2022;C0042BLAES;5200208003;14;7;7;7;7;7;7;7;7;7;7;7
2022;C0042BLAES;5200208004;1.039,50;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75
2022;C0042BLAES;5200501003;1.500,00;1.000,00;1.000,00;1.000,00;1.500,00;1.000,00;1.000,00;1.000,00;1.500,00;1.000,00;1.000,00;1.000,00
2022;C0042BLAES;5200502001;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00;4.000,00
2022;C0042BLAES;5200502003;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00;2.650,00
2022;C0042BLAES;5200502004;600;100;100;100;100;100;100;100;100;100;100;100
2022;C0042BLAES;5200502007;200;0;0;0;0;200;0;0;0;0;200;0
2022;C0042BLAES;5200503002;300;0;0;0;0;300;0;0;0;0;300;0
2022;C0042BLAES;5200503004;600;100;100;100;100;600;100;100;100;100;600;100
2022;C0042BLAES;5200503005;90;90;90;90;90;90;90;90;90;90;90;90
2022;C0042BLAES;5200503008;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00;1.800,00
2022;C0042BLAES;5200503011;800;0;0;0;0;0;0;0;0;0;0;0
2022;C0042BLAES;5200504008;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00;1.350,00
2022;C0042BLAES;5200504010;2.900,00;900;900;900;900;900;900;900;900;900;900;900
2022;C0042BLAES;5200504018;30.000,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00
2022;C0042BLAES;5200504019;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00;2.100,00
2022;C0042BLAES;5200504025;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00;33.818,00
2022;C0042BLCOB;5200502004;500;500;500;500;500;500;500;500;500;500;500;500
2022;C0042BLCOB;5200503001;816,33;816,33;816,33;816,33;816,33;816,33;816,33;816,33;816,33;816,33;816,33;816,33
2022;C0042BLCOB;5200503003;500;500;500;500;500;500;500;500;500;500;500;500
2022;C0042BLCOB;5200504025;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00;11.000,00
2022;C0042BLJUR;5200201001;8.320,00;8.320,00;8.320,00;8.320,00;8.320,00;8.320,00;8.320,00;9.236,00;9.236,00;9.236,00;9.236,00;9.236,00
2022;C0042BLJUR;5200203001;462;462;462;462;462;462;462;513;513;513;513;513
2022;C0042BLJUR;5200203002;163;163;163;163;163;163;163;181;181;181;181;181
2022;C0042BLJUR;5200204001;693;693;693;693;693;693;693;770;770;770;770;770
2022;C0042BLJUR;5200204002;245;245;245;245;245;245;245;272;272;272;272;272
2022;C0042BLJUR;5200205001;2.271,00;2.271,00;2.271,00;2.271,00;2.271,00;2.271,00;2.271,00;2.521,00;2.521,00;2.521,00;2.521,00;2.521,00
2022;C0042BLJUR;5200205002;666;666;666;666;666;666;666;739;739;739;739;739
2022;C0042BLJUR;5200208001;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85;869,85
2022;C0042BLJUR;5200208003;19;19;19;19;19;19;19;21;21;21;21;21
2022;C0042BLJUR;5200208004;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75
2022;C0042BLJUR;5200503001;896;896;896;896;896;896;896;896;896;896;896;896
2022;C0042BLJUR;5200503005;50;50;50;50;50;50;50;50;50;50;50;50
2022;C0042BLPLM;5200201001;8.529,00;8.529,00;8.529,00;8.529,00;8.529,00;8.529,00;8.529,00;9.467,00;9.467,00;9.467,00;9.467,00;9.467,00
2022;C0042BLPLM;5200203001;474;474;474;474;474;474;474;526;526;526;526;526
2022;C0042BLPLM;5200203002;167;167;167;167;167;167;167;186;186;186;186;186
2022;C0042BLPLM;5200204001;711;711;711;711;711;711;711;789;789;789;789;789
2022;C0042BLPLM;5200204002;251;251;251;251;251;251;251;279;279;279;279;279
2022;C0042BLPLM;5200205001;2.328,00;2.328,00;2.328,00;2.328,00;2.328,00;2.328,00;2.328,00;2.584,00;2.584,00;2.584,00;2.584,00;2.584,00
2022;C0042BLPLM;5200205002;682;682;682;682;682;682;682;757;757;757;757;757
2022;C0042BLPLM;5200208001;289,95;289,95;289,95;289,95;289,95;289,95;289,95;289,95;289,95;289,95;289,95;289,95
2022;C0042BLPLM;5200208003;19;19;19;19;19;19;19;21;21;21;21;21
2022;C0042BLPLM;5200208004;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75;519,75
2022;C0042BLREP;5200201001;13.154,00;13.154,00;13.154,00;16.675,00;16.675,00;16.675,00;16.675,00;18.510,00;18.510,00;18.510,00;18.510,00;18.510,00
2022;C0042BLREP;5200203001;731;731;731;927;927;927;927;1.029,00;1.029,00;1.029,00;1.029,00;1.029,00
2022;C0042BLREP;5200203002;258;258;258;327;327;327;327;364;364;364;364;364
2022;C0042BLREP;5200204001;1.096,00;1.096,00;1.096,00;1.389,00;1.389,00;1.389,00;1.389,00;1.543,00;1.543,00;1.543,00;1.543,00;1.543,00
2022;C0042BLREP;5200204002;387;387;387;491;491;491;491;545;545;545;545;545
2022;C0042BLREP;5200205001;3.591,00;3.591,00;3.591,00;4.552,00;4.552,00;4.552,00;4.552,00;5.053,00;5.053,00;5.053,00;5.053,00;5.053,00
2022;C0042BLREP;5200205002;1.052,00;1.052,00;1.052,00;1.334,00;1.334,00;1.334,00;1.334,00;1.481,00;1.481,00;1.481,00;1.481,00;1.481,00
2022;C0042BLREP;5200208001;1.159,80;1.159,80;1.159,80;2.029,65;2.029,65;2.029,65;2.029,65;2.029,65;2.029,65;2.029,65;2.029,65;2.029,65
2022;C0042BLREP;5200208003;29;29;29;37;37;37;37;42;42;42;42;42
2022;C0042BLREP;5200208004;1.559,25;1.559,25;1.559,25;2.079,00;2.079,00;2.079,00;2.079,00;2.079,00;2.079,00;2.079,00;2.079,00;2.079,00
2022;C0042BLREP;5200503001;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50;1.224,50
2022;C0042BLREP;5200503003;500;500;500;500;500;500;500;500;500;500;500;500
2022;C0042BLRHU;5200201001;6.578,00;9.778,00;9.778,00;9.778,00;9.778,00;9.778,00;9.778,00;9.778,00;9.778,00;9.778,00;9.778,00;9.778,00
2022;C0042BLRHU;5200203001;365;543;543;543;543;543;543;543;543;543;543;543
2022;C0042BLRHU;5200203002;129;192;192;192;192;192;192;192;192;192;192;192
2022;C0042BLRHU;5200204001;548;815;815;815;815;815;815;815;815;815;815;815
