;ano;cod_ccusto;cod_classe_custo;cod_sub_classe_custo;obs_valor;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
;2023;C0304COASS;5200504019;30;Envio de documentos para clientes e bancos em outros estados/municípios;150;150;150;150;150;150;150;150;150;150;150;150
;2023;C0304COASS;5200504020;30;Orçamento Pipefy;3781;3781;3781;3781;3781;3781;3781;3781;3781;3781;3781;3781
;2023;C0304COASS;5200504025;30;Orçamento de equipe terceirizada;9829;9829;9829;17829;17829;17829;17829;17829;17829;17829;17829;17829
;2023;C0221SPCNS;5200503001;30;Viagens Diversas;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700
;2023;C0221SPCNS;5200503005;30;Reembolso Transportes;500;500;500;500;500;500;500;500;500;500;0;0
;2023;C0304COASS;5200503005;30;Transporte, Lanche e Premiações. Média do realizado 2022;510;510;510;510;510;510;510;510;510;510;510;510
;2023;C0042CODTE;5200503005;30;Reembolso de taxis, lanches ou refeições durante Horas extras.;500;500;500;500;500;500;500;500;500;500;500;500
;2023;C0304RJMKT;5200502005;00;;25;25;25;25;25;25;25;25;25;25;25;25
;2023;C0042EQCOC;5200208006;30;R$ 3000 por pessoa a cada semestre.;0;0;0;6000;0;0;0;0;6000;0;0;0
;2023;C0042EQCOC;5200503001;30;R$ 2.000 por pessoa/ semestre + R$ 200 por pessoa/semestre reembolso de refeições fora de SP.;0;0;0;4400;0;0;0;4400;0;0;0;0
;2023;C0042EQCOC;5200503002;30;R$ 45 por pessoa /mês;90;90;90;90;90;90;90;90;90;90;90;90
;2023;C0042EQCOC;5200503005;30;R$ 3.000 por pessoa/mês táxi e Uber;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000
;2023;C0042EQCOC;5200504012;30;Confraternização R$ 600;0;0;600;0;0;0;0;0;0;0;0;0
;2023;C0042EQCOC;5200504019;30;R$ 100 por/mês frete Loggi (motoboy);100;100;100;100;100;100;100;100;100;100;100;100
;2023;C0304RJMKT;5200410004;00;;16666;16666;16666;16666;16666;16666;16666;16666;16666;16666;16666;16678
;2023;C2546RSQUA;5200503005;30;CORRIDA DE UBER;1024;1024;1152;1152;1152;1024;1024;1152;1152;1024;1024;1152
;2023;C2546RSQUA;5200504001;30;Auditoria interna e consultoria;0;0;0;4200;0;0;0;0;4200;0;0;0
;2023;C2546RSQUA;5200504001;31;auditoria externa;0;0;0;0;0;0;0;0;8500;0;0;0
;2023;C2546RSQUA;5200504002;30;acessoria estagiário;220;220;220;220;220;220;220;220;220;220;220;220
;2023;C2546RSQUA;5200504002;31;Ingresso forum de inovação;0;2110;0;0;0;0;0;0;0;0;0;0
;2023;C2546RSQUA;5200504002;32;Desenvolvimento de tecnologias;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;2023;C2546RSQUA;5200504012;30;Reunião de Engenharia :cooffe;800;800;800;800;800;800;800;800;800;800;800;800
;2023;C2546RSQUA;5200504012;31;Aluguel de Auditório;500;500;500;500;500;500;500;500;500;500;500;500
;2023;C2546RSQUA;5200504012;32;trofeu reconhecimento;0;0;0;0;0;0;0;0;500;0;0;0
;2023;C2546RSQUA;5200504020;30;Backup Controletec;117;117;117;117;117;117;117;117;117;117;117;117
;2023;C2546RSQUA;5200504020;31;Autodoc Qualidade;2104;2104;2104;2104;2104;2104;2104;2104;2104;2104;2104;2104
;2023;C2546RSQUA;5200504020;32;Target gedweb;0;0;0;0;0;4529;0;0;0;0;0;0
;2023;C2546RSQUA;5200504020;33;App Vistoria (Preference);2650;2650;2650;2650;2650;2650;2650;2650;2650;2650;2650;2650
;2023;C2546RSQUA;5200504020;34;Autodoc Qualidade - Melhorias;5000;0;5000;0;0;0;0;0;0;0;0;0
;2023;C2546RSQUA;5200504020;35;Afirma (AppVistoria) - Melhorias;5000;0;5000;0;0;0;0;0;0;0;0;0
;2023;C2546RSQUA;5200504020;36;Frequenza melhorias;5000;0;5000;0;0;0;0;0;0;0;0;0
;2023;C0042COJSO;5200504002;30;projeto de automação dos contratos;14000;14000;14000;14000;14000;14000;14000;14000;14000;14000;14000;14000
;2023;C0042COJSO;5200504004;30;contrato do GVNZ para a regularização da meta de Redução de Capital/aprovação de contas e regularização de livros societários;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000
;2023;C0042COJSO;5200504004;31;contrato para 2 AGO + atualização do  FRE + atualização do Informe de Governança + honorários mensal (assessoria holding que atualmente é 18k mensal/pacote;44000;44000;44000;44000;44000;44000;44000;44000;44000;44000;44000;44000
;2023;C0042COJSO;5200504004;32;registros na JUCESP de atas da Holding;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
;2023;C0042COJSO;5200504004;33;publicação de RCAS, ARD, e AGE da Holding;3750;3750;3750;3750;3750;3750;3750;3750;3750;3750;3750;3750
;2023;C0042COAES;5200503003;00;ArtCards - Crachás e Sdesivos - R$ 500\nPhomofarma - Cordões e IoIos - R$ 500\nParkplce - Compra Selos - R$ 7.000\nParkPlace - Mensalistas Estacionamento - R$ 45.000;53000;53000;53000;53000;53000;53000;53000;53000;53000;53000;53000;53000
;2023;C0304RJCOB;5200502005;00;;185;185;185;185;185;185;185;185;185;185;185;185
;2023;C0304RJSUP;5200504007;00;Desenvolvimentos Frequenza;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100
;2023;C2546RSDTA;5200504002;30;Assessoria para capacitação da equipe para treinamento do uso de drone;300;300;300;300;300;300;300;300;300;300;300;300
;2023;C2546RSDTA;5200504012;30;Bolos para os aniversariantes do mês e salgados para os treinamentos;500;500;500;500;500;500;500;500;500;500;500;500
;2023;C2546RSDTA;5200504019;30;Estimativa de custos para fretes ou deslocamento dos materiais do escritório para as bases;150;150;150;150;150;150;150;150;150;150;150;150
;2023;C0042SPAES;5200503002;30;BrSupply - Mat de Escritório - R$ 7.500\nPrint Claro Gráfica - Envelopes e diversos - R$ 750\nBrasil Brindes - Mat Salas Clientes/Visitas - R$ 750;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500
;2023;C2546PRDTA;5200503001;30;Deslocamento equipe do PR para RS;500;500;500;500;500;500;500;500;500;500;500;500
;2023;C2546PRDTA;5200503005;30;Estimativa para deslocamento da equipe de campo via aplicativo;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
;2023;C2546PRDTA;5200503009;00;;70;70;70;70;70;70;70;70;70;70;70;70
;2023;C2546PRDTA;5200504012;30;Bolos para os aniversariantes do mês e/ou salgados para os treinamentos da equipe.;50;50;50;50;50;50;50;50;50;50;50;50
;2023;C2546PRDTA;5200504019;30;Deslocamento de materiais entre as bases e o RS/PR;120;120;120;120;120;120;120;120;120;120;120;120
;2023;C2546RSDTA;5200503005;30;Estimativa de custos para deslocamento da equipe própria via aplicativo de transporte para atendimento dos clientes.;12500;12500;12500;12500;12500;12500;12500;12500;12500;12500;12500;12500
;2023;C0042COAES;5200501001;00;Aluguel Faria Lima R$ 218.595\nAluguel Regus Campinas R$ 2.800\nCondomínio Faria Lima R$ 41.810\nFundo de Contigência Faria Lima R$ 800;264355;264355;264355;264355;264355;264355;264355;290587;290587;290587;290587;290965
