ano;centroCusto;classeCusto;idDetalhe;descr;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;fornecedor;obs_valor;aux
2023;C0219COJVD;5200201002;0;;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;;;
2023;C0219SPSEC;5200201002;0;;512;512;1536;1016;1016;1536;512;512;1536;1016;1920;1920;;;
2023;C0219SLTRJ;5200207001;0;;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;;;
2023;C0219SLTRJ;5200207002;0;;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;380000;;;
2023;C0221DPADM;5200208002;0;;500;500;500;500;500;500;500;500;500;500;500;500;;;
2023;C0042COREB;5200208005;0;;18600;0;0;0;0;0;0;0;0;0;0;0;;;
2023;C0042BLRHU;5200208006;30;FORNECEDOR A DEFINIR - Treinamentos;5000;0;0;0;0;0;0;0;0;0;0;0;FORNECEDOR A DEFINIR;Treinamentos;FORNECEDOR A DEFINIR - Treinamentos
2023;C0042COCTB;5200208006;30;KPMG Consultoria Ltda - Curso obrigatório para contadora;417;417;417;417;417;417;417;417;417;417;417;417;KPMG Consultoria Ltda;Curso obrigatório para contadora;KPMG Consultoria Ltda - Curso obrigatório para contadora
2023;C0042COGCB;5200208006;30;Alura ( Cursos Online) - Licenças para treinamentos voltados a áreas de  Programação, Data Science, Devops. Licença anual com acesso completo a todos os cursos por 1 ano.;350;350;350;350;350;350;350;350;350;350;350;350;Alura ( Cursos Online);Licenças para treinamentos voltados a áreas de  Programação, Data Science, Devops. Licença anual com acesso completo a todos os cursos por 1 ano.;Alura ( Cursos Online) - Licenças para treinamentos voltados a áreas de  Programação, Data Science, Devops. Licença anual com acesso completo a todos os cursos por 1 ano.
2023;C0042EQCOC;5200208006;30;Cursos e treinamentos - R$ 3000 por pessoa a cada semestre.;0;0;0;6000;0;0;0;0;6000;0;0;0;Cursos e treinamentos;R$ 3000 por pessoa a cada semestre.;Cursos e treinamentos - R$ 3000 por pessoa a cada semestre.
2023;C0042EQINL;5200208006;30;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;0;0;10000;0;0;0;0;10000;0;0;0;0;Instituições de ensino;Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador
2023;C0042EQPDL;5200208006;30;Cursos e treinamentos - R$ 2400 por pessoas / semestre;0;0;0;12000;0;0;0;0;12000;0;0;0;Cursos e treinamentos;R$ 2400 por pessoas / semestre;Cursos e treinamentos - R$ 2400 por pessoas / semestre
2023;C0042EQRHU;5200208006;30;Ciclo do conhecimento - palestrantes externos;0;0;0;0;0;0;80000;0;0;0;0;0;Ciclo do conhecimento;palestrantes externos;Ciclo do conhecimento - palestrantes externos
2023;C0042EQRHU;5200208006;31;Cursos externos - verba anual destinada a cursos externos (teto de 6k por colaborador);10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;Cursos externos;verba anual destinada a cursos externos (teto de 6k por colaborador);Cursos externos - verba anual destinada a cursos externos (teto de 6k por colaborador)
2023;C0042EQRHU;5200208006;32;Treinamentos in company - Demandas de trilhas de todas as áreas;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;Treinamentos in company;Demandas de trilhas de todas as áreas;Treinamentos in company - Demandas de trilhas de todas as áreas
2023;C0042EQRHU;5200208006;33;Treinamentos de sensibilização - temas definidos a partir da agenda de diversidade e outras frentes;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;15000;Treinamentos de sensibilização;temas definidos a partir da agenda de diversidade e outras frentes;Treinamentos de sensibilização - temas definidos a partir da agenda de diversidade e outras frentes
2023;C0042EQRHU;5200208006;34;Formação de líderes Brasil - Diretores e gerentes BR;0;0;0;220000;0;220000;0;220000;0;0;0;0;Formação de líderes Brasil;Diretores e gerentes BR;Formação de líderes Brasil - Diretores e gerentes BR
2023;C0042EQRHU;5200208006;35;Treinamentos para Obras SP - Produção de micro treinamentos no formato whatsapp para colaboradores de obras;0;0;50000;0;0;0;0;0;50000;0;0;0;Treinamentos para Obras SP;Produção de micro treinamentos no formato whatsapp para colaboradores de obras;Treinamentos para Obras SP - Produção de micro treinamentos no formato whatsapp para colaboradores de obras
2023;C0042EQRHU;5200208006;36;Coaching Brasil - pagamento de ate 10 vagas de coaching lideres BR;0;0;0;150000;0;0;0;0;0;0;0;0;Coaching Brasil;pagamento de ate 10 vagas de coaching lideres BR;Coaching Brasil - pagamento de ate 10 vagas de coaching lideres BR
2023;C0042EQRHU;5200208006;37;Palestras reuniao geral - 2 reunioes gerais ao ano;0;0;50000;0;0;0;0;0;50000;0;0;0;Palestras reuniao geral;2 reunioes gerais ao ano;Palestras reuniao geral - 2 reunioes gerais ao ano
2023;C0042GEMKT;5200208006;30;instituições de ensino - Obs: Curso específico da area;0;6000;0;0;0;0;10000;0;0;0;0;0;instituições de ensino;Obs: Curso específico da area;instituições de ensino - Obs: Curso específico da area
2023;C0042ITAMB;5200208006;30;Ecofire Treinamento Reciclagem - Reciclagem Equipe de Brigada de Incêndio;0;0;0;0;0;0;0;0;0;10000;0;0;Ecofire Treinamento Reciclagem;Reciclagem Equipe de Brigada de Incêndio;Ecofire Treinamento Reciclagem - Reciclagem Equipe de Brigada de Incêndio
2023;C0042SLRHU;5200208006;30;Treinamentos - Treinamentos áreas;5000;0;0;0;0;0;0;0;0;0;0;0;Treinamentos;Treinamentos áreas;Treinamentos - Treinamentos áreas
2023;C0042SOCMD;5200208006;30;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;0;0;3000;0;0;0;0;3000;0;0;0;0;Instituições de ensino;Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador
2023;C0042SPAGI;5200208006;30;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;0;0;0;10000;0;0;10000;0;0;12000;0;0;Instituições de ensino;Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador
2023;C0042SPMKC;5200208006;30;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;0;0;10000;0;0;0;0;10000;0;0;0;0;Instituições de ensino;Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador
